id,ScrapperOrder,Link,ApartmentName,Address,RentStudio,Rent1BD,Rent2BDS,Rent3BDS,Rent4BDS,Rent5BDS,Images
61,1680719903-2772,https://www.zillow.com/b/vibe-at-echo-street-west-atlanta-ga-C6qSPC/,Vibe at Echo Street West ," 750 Echo St NW, Atlanta, GA","1,610","1,940","2,589",0,0,0,"https://photos.zillowstatic.com/fp/dcc633769494d045bda37226061a1a3a-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/7f029694bccbc52045ce549253a2366b-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/67fdb0f4fbcb315972df98ec53043ec2-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/2aed22913b2bc8f259ff619e84240b64-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/4265e4b261aa70eeba7d2e9f269dbe0a-cc_ft_960.jpg"
62,1680719906-2777,https://www.zillow.com/b/amli-buckhead-atlanta-ga-9nx4Q6/,AMLI Buckhead ," 3450 Roxboro Rd NE, Atlanta, GA",0,"1,744","2,393",0,0,0,"https://photos.zillowstatic.com/fp/b943ed169e91bb869f361d3b4b71f10a-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/cbe21d6c25d8d02ca8eaf85ebc445feb-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/16d5210f782863b4b3cfc10afab1ea46-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/108ba0ccf598de131d179b99ff33b926-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3bb69602270f52ee986b230cc2277286-cc_ft_960.jpg"
63,1680719909-2782,https://www.zillow.com/b/trace-atlanta-ga-9Pv2hY/,Trace ," 782 Peachtree St NE, Atlanta, GA","1,840","1,905","2,905",0,0,0,"https://photos.zillowstatic.com/fp/6589d3642f7dc458e1e41283a5e356b2-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/c672614691814aa999ccda15c9b19bc1-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/22a43c1c6f6d4ec965598c1131ac2319-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/c4fdb8d73819efad83b4250ea986f159-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/d695d29b338a752ea0bf15bdf7946af0-cc_ft_960.jpg"
64,1680719912-2787,https://www.zillow.com/b/emerald-gardens-pittsburgh-pa-5ZJQhx/,Emerald Gardens ," 2400 Village Rd, Pittsburgh, PA",0,"1,040","1,325","1,735",0,0,"https://photos.zillowstatic.com/fp/789d7cec13e93b4685f62b2d9ef87de7-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3f7d76ce04b0e4a36f9647ad985b4890-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/45d4fb65adc1b8bf86af1e94ff0bcd69-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/6ffc73fa3313083d94d2d04673fd3977-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/5999f3895091e7ddb5ed2b710f5e6364-cc_ft_960.jpg"
65,1680719919-2797,https://www.zillow.com/b/1660-peachtree-atlanta-ga-5XhtKJ/,1660 Peachtree ," 1660 Peachtree St NW, Atlanta, GA",0,"1,599","1,999",0,0,0,"https://photos.zillowstatic.com/fp/967711aae6eaaf83ddc2cd014158e629-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/1cf5fd5f6e45abdd6b037b9d63c70037-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/81c827e68c8e230436a63740bc8edb9e-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/967711aae6eaaf83ddc2cd014158e629-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/44f65efc62e96c2b6350ffba6af38708-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/252dd6746415d74c07fdba2a576701c8-cc_ft_960.jpg"
66,1680719921-2803,https://www.zillow.com/b/harper-on-piedmont-atlanta-ga-5Xhtdh/,Harper on Piedmont ," 625 Piedmont Ave NE, Atlanta, GA",0,"1,950","2,500",0,0,0,"https://photos.zillowstatic.com/fp/0ef954695c2ed8b8c685bfd5deaa00b7-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/c469b3406a9f79e7c6553a4111421f85-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/e458b39b64ee7ff67f16e1166f4d236c-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/1f263abf20cae60bd2aa9be437a1c9af-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/8d7b6f1cd925970e5143d1406b41f3d8-cc_ft_960.jpg"
67,1680719924-2808,https://www.zillow.com/b/berkeley-heights-atlanta-ga-5XhtSG/,Berkeley Heights ," 1700 Northside Dr NW, Atlanta, GA","1,800","1,337","1,925",0,0,0,"https://photos.zillowstatic.com/fp/fcb9ea30ce91d8d7f1b4271c1623994f-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/5f56bcb581c50072af9be9bc7c102dd2-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/42d51b7ee2ec91255ff2743526e2f4f5-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/097b6c29e5694f4d2c24b349550908d1-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/85bc84481c204f4b74ee8f4bd13674f1-cc_ft_960.jpg"
68,1680719929-2819,https://www.zillow.com/b/77-12th-street-atlanta-ga-5XjS6C/,77 12th Street ," 77 12th St NE, Atlanta, GA","1,858","1,988","3,032",0,0,0,"https://photos.zillowstatic.com/fp/a01143e979bcfdec5dbadb0714513e70-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/993c46bbdc92b9c0ed4a353f91821b26-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/ae13d024eca7795bda19f1895be4bb79-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/39763f0e2a6add7f8380906d4a9a7677-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/7e89885f0a918530d15b4d5c258a028c-cc_ft_960.jpg"
69,1680719939-2830,https://www.zillow.com/b/continuum-allston-ma-63wRB2/,Continuum ," 219 Western Ave, Allston, MA","2,749","3,286","4,644","6,856",0,0,"https://photos.zillowstatic.com/fp/7295f09e841ec1964d4c2c0690d8c23d-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/33a0429790a5276f56e42e780a1af331-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/0af10c629fafe18e7d3b82aaa2b81c47-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/26e8a5bbb8204d133765f8f5e10c7f64-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/fc53eedfba35a0cd784948d744ce9a5b-cc_ft_960.jpg"
70,1680719942-2835,https://www.zillow.com/b/lilli-midtown-atlanta-ga-9Pv2Vp/,Lilli Midtown ," 693 Peachtree St NE, Atlanta, GA",0,"2,615","3,845",0,0,0,"https://photos.zillowstatic.com/fp/ef875f1989299e8ecf1d3f1882e725cf-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/73e703a41ed7933d74ef19d82a502b30-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/a3a8b8e5647b8d9178a63ad5ca9f7a68-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3cd01675a4a44517b32e332eeebe3fc6-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/fc9641d5ca95b3f9cee181fd02682c76-cc_ft_960.jpg"
